Rank,NOC,Gold,Silver,Bronze,Total
1,United States,1219,1000,876,3095
2,Soviet Union*,473,376,355,1204
3,China,325,258,221,804
4,Germany,318,317,320,955
5,Great Britain,310,344,360,1014
6,France,281,319,354,954
7,Italy,271,244,284,799
8,Sweden,216,232,242,690
9,Norway,213,187,176,576
10,Japan,206,191,221,618
11,Russia,193,164,185,542
12,East Germany*,192,165,162,519
13,Hungary,189,163,188,540
14,Australia,188,199,232,619
15,Netherlands,163,161,179,503
16,Canada,157,189,232,578
17,Finland,146,150,184,480
18,South Korea,142,130,127,399
19,Switzerland,117,128,137,382
20,Austria,93,123,135,351
21,Romania,93,101,124,318
22,Cuba,86,70,88,244
23,Poland,80,100,151,331
24,West Germany*,67,82,94,243
25,New Zealand,65,42,56,163
26,Bulgaria,58,91,88,237
27,Spain,54,77,61,192
28,Unified Team*,54,44,37,135
29,Czechoslovakia*,51,57,60,168
30,Denmark,50,81,84,215
31,Belgium,49,59,67,175
32,Ukraine,41,43,76,160
33,Turkey,41,29,41,111
34,Brazil,40,49,81,170
35,Kenya,39,44,41,124
36,United Team of Germany*,36,60,41,137
37,Greece,36,46,47,129
38,Czech Republic,32,33,41,106
39,South Africa,28,36,31,95
40,Jamaica,27,39,28,94
41,Iran,27,29,32,88
42,Yugoslavia*,26,32,29,87
43,ROC(ROC)*,25,40,38,103
44,Ethiopia,24,16,22,62
45,Argentina,22,27,31,80
46,Belarus,21,37,47,105
47,Croatia,20,21,18,59
48,Uzbekistan,19,8,23,50
49,Kazakhstan,16,28,42,86
50,North Korea,16,19,28,63
51,Ireland,15,10,17,42
52,Slovenia,14,18,23,55
53,Slovakia,14,18,11,43
54,Estonia,14,11,19,44
55,Mexico,13,27,37,77
56,Georgia,13,15,19,47
57,Thailand,11,11,19,41
58,Mixed team*,11,6,8,25
59,Indonesia,10,14,16,40
60,India,10,10,21,41
61,Azerbaijan,9,16,31,56
62,Egypt,9,12,20,41
63,Chinese Taipei,9,11,23,43
64,Serbia,9,8,12,29
65,Morocco,8,5,13,26
66,Bahamas,8,2,6,16
67,Algeria,7,4,9,20
68,Portugal,6,11,15,32
69,Lithuania,6,9,15,30
70,Tunisia,6,4,8,18
71,Colombia,5,16,17,38
72,Latvia,5,14,12,31
73,Uganda,5,5,3,13
74,Israel,4,6,10,20
75,Dominican Republic,4,5,6,15
76,Ecuador,4,4,2,10
77,Hong Kong,4,3,6,13
78,Pakistan,4,3,4,11
79,Bahrain,4,3,1,8
80,Nigeria,3,11,13,27
81,Chile,3,8,4,15
82,Venezuela,3,7,9,19
83,Trinidad and Tobago,3,5,11,19
84,Philippines,3,5,10,18
85,Australasia*,3,4,5,12
86,Zimbabwe,3,4,1,8
87,Cameroon,3,1,2,6
88,Kosovo,3,1,1,5
89,Mongolia,2,12,17,31
90,Armenia,2,11,9,22
91,Olympic Athletes from Russia*,2,6,9,17
92,Serbia and Montenegro*,2,4,3,9
93,Luxembourg,2,3,0,5
94,Puerto Rico,2,2,8,12
95,Liechtenstein,2,2,6,10
95,Uruguay,2,2,6,10
97,Qatar,2,2,5,9
98,Fiji,2,1,1,4
99,Russian Empire*,1,4,3,8
100,Individual Neutral Athletes*,1,3,1,5
100,Peru,1,3,1,5
100,Vietnam,1,3,1,5
103,Singapore,1,2,3,6
104,Botswana,1,2,1,4
104,Jordan,1,2,1,4
106,Tajikistan,1,1,5,7
107,Grenada,1,1,3,5
107,Ivory Coast,1,1,3,5
109,Costa Rica,1,1,2,4
109,Panama,1,1,2,4
109,Syria,1,1,2,4
112,Guatemala,1,1,1,3
113,Burundi,1,1,0,2
113,Saint Lucia,1,1,0,2
115,Bermuda,1,0,1,2
115,Independent Olympic Athletes*,1,0,1,2
115,Mozambique,1,0,1,2
115,Suriname,1,0,1,2
115,United Arab Emirates,1,0,1,2
120,Dominica,1,0,0,1
121,Malaysia,0,8,7,15
122,Kyrgyzstan,0,5,8,13
123,Namibia,0,5,0,5
124,Moldova,0,3,7,10
125,Iceland,0,2,2,4
125,Lebanon,0,2,2,4
125,Saudi Arabia,0,2,2,4
128,Cyprus,0,2,0,2
128,Sri Lanka,0,2,0,2
128,Tanzania,0,2,0,2
131,Ghana,0,1,4,5
132,Bohemia*,0,1,3,4
133,Independent Olympic Participants*,0,1,2,3
133,San Marino,0,1,2,3
133,Zambia,0,1,2,3
136,Haiti,0,1,1,2
136,Niger,0,1,1,2
136,North Macedonia,0,1,1,2
139,Gabon,0,1,0,1
139,Montenegro,0,1,0,1
139,Netherlands Antilles*,0,1,0,1
139,Paraguay,0,1,0,1
139,Samoa,0,1,0,1
139,Senegal,0,1,0,1
139,Sudan,0,1,0,1
139,Tonga,0,1,0,1
139,Turkmenistan,0,1,0,1
139,Virgin Islands,0,1,0,1
149,Kuwait,0,0,3,3
150,Afghanistan,0,0,2,2
150,Albania,0,0,2,2
150,British West Indies*,0,0,2,2
153,Barbados,0,0,1,1
153,Burkina Faso,0,0,1,1
153,Cape Verde,0,0,1,1
153,Djibouti,0,0,1,1
153,Eritrea,0,0,1,1
153,Guyana,0,0,1,1
153,Iraq,0,0,1,1
153,Mauritius,0,0,1,1
153,Refugee Olympic Team*,0,0,1,1
153,Togo,0,0,1,1
